street_ko,street_en,address,dong_ko,dong_en,lng,lat,score
연남동차이나타운,Chinatown,서울시 마포구 연남동 일대,연남동,Yeonnam-dong,126.9223460779,37.5631083128,22
아현동전골목,Ahyeon Coin Alley,서울시 마포구 아현동 일대,아현동,Ahyeon-dong,126.9560892337,37.5546022525,33
홍대예술의거리,Hongik Univ Street of Art,서울시 마포구 서교동 일대,서교동,Daheung-dong,126.9379276799,37.5542409105,99
메타세콰이어길,Metasequoia Road,서울시 마포구 상암동 일대,상암동,Sangam-dong,126.8725938165,37.5714984223,43
현충로,Hyeonchungno,서울시 동작구 사당2동 일대,사당2동,Sadang2-dong,126.9736046405,37.5006879112,26
경희대파전골목,Kyunghee Univ pajeon Alley,서울시 동대문구 휘경1동 일대,휘경1동,Hwigyeong2-dong,127.0625992198,37.5888316341,68
홍릉길,Hongneung-gil,서울시 동대문구 청량리동 일대,청량리동,Cheongnyangni-dong,127.0463896964,37.5881976109,23
화랑로낙엽거리,Hwarangno fallen leaves street,서울시 노원구 공릉2동 일대,공릉2동,Gongneung2-dong,127.087693357,37.6305927195,42
가리봉로데오거리,Rodeo Street,서울시 금천구 가산동 일대,가산동,Gasan-dong,126.8842347738,37.475038316,32
가리봉동차이나타운,Chinatown,서울시 구로구 가리봉동 일대,가리봉동,Garibong-dong,126.8873071257,37.482833211,12
건대맛의거리,Geondae taste Street,서울시 광진구 화양동 일대,화양동,Hwayang-dong,127.0727360464,37.5433219294,84
건대로데오거리,Rodeo Street,서울시 광진구 자양4동 일대,자양4동,Jayang1-dong,127.0802146943,37.5319212362,65
능동로,Neungdongno,서울시 광진구 능동 일대,능동,Neung-dong,127.0824623102,37.5510497104,24
봉천동먹자골목,Bongcheon-dong food Alley,서울시 관악구 행운동 일대,행운동,Jungang-dong,126.948985568,37.4829408135,64
걷고싶은문화의거리,Pedestrian-Friendly Culture Street,서울시 관악구 신림동 일대,신림동,Samseong-dong,126.9345984302,37.4632016047,72
관악디자인거리,Gwanak-gu design street,서울시 관악구 낙성대동 일대,낙성대동,Jungang-dong,126.948985568,37.4829408135,23
한강자전거도로(강서지구),Hangang River cycle lane(Gangseo Area),서울시 강서구 방화2동 일대,방화2동,Banghwa3-dong,126.8133225984,37.5773373025,53
둘레길순례길구간,Sullye-gil course,서울시 강북구 우이동 일대,우이동,Insu-dong,127.0045998616,37.6370942943,36
천호동로데오거리,Cheonho-dong,서울시 강동구 천호3동 일대,천호3동,Cheonho2-dong,127.1266790476,37.5431790738,65
한강자전거도로(광나루지구),Hangang River cycle lane(Gwangnaru Area),서울시 강동구 암사2동 일대,암사2동,Amsa3-dong,127.1308327064,37.5579256806,32
천호디자인거리,Cheonho design street,서울시 강동구 성내2동 일대,성내2동,Seongnae1-dong,127.128897657,37.5304833863,56
당리순대국,Dangni Korean Blood Sausag Soup,서울시 강동구 명일2동 일대,명일2동,Myeongil2-dong,127.1496921479,37.5486842731,34
병천토속순대,Byeongcheon folk sundae,서울시 강동구 길동 일대,길동,Gil-dong,127.1470468799,37.5385603718,66
청담동명품거리,Chengdam-dong luxury street,서울시 강남구 청담동 일대,청담동,Cheongdam-dong,127.0523782445,37.5254064028,76
테헤란로,Teheran-ro,서울시 강남구 역삼2동 일대,역삼2동,Yeoksam2-dong,127.0388891889,37.4998663454,43
가로수길,Garosu-gild Road,서울시 강남구 신사동 일대,신사동,Apgujeong-dong,127.029231648,37.5238250318,98
논현동포차골목,Nonhyeondong cart bar Alley,서울시 강남구 논현1동 일대,논현1동,Nonhyeon2-dong,127.0311957909,37.5136359848,88
